doc_name,short_summary,question,answer
3.txt,"The Court will consider whether the restrictions put by the impugned legislation on the exercise of the right are reasonable or not The question whether the provisions of the Act provide reasonable safe guards against the abuse of the power given to the executive authority to administer the law is not relevant for the true interpretation of the clause The Court, on either interpretation, will be entitled to consider whether the re strictions on the right to move throughout India, i.e., both as regards the territory and the duration, are reasonable or not The law providing reasonable restrictions on the exercise of the right conferred by article 19 may contain substantive provisions as well as procedural provisions While the reasonableness of the restrictions has to be considered with regard to the exercise of the right, it does not necessarily exclude from the consideration of the Court the question of reasonableness of the procedural part of the law.",Is the law providing reasonable restrictions on the exercise of the right conferred by article 19 reasonable in so far as it is a reasonable apprehension that the right may be abused and the law provides reasonable restrictions to prevent this?,"Yes
         The law providing reasonable restrictions on the exercise of the right conferred by article 19 is reasonable in so far as it is a reasonable apprehension that the right may be abused and the law provides reasonable restrictions to prevent this."
3.txt,"The Court will consider whether the restrictions put by the impugned legislation on the exercise of the right are reasonable or not The question whether the provisions of the Act provide reasonable safe guards against the abuse of the power given to the executive authority to administer the law is not relevant for the true interpretation of the clause The Court, on either interpretation, will be entitled to consider whether the re strictions on the right to move throughout India, i.e., both as regards the territory and the duration, are reasonable or not The law providing reasonable restrictions on the exercise of the right conferred by article 19 may contain substantive provisions as well as procedural provisions While the reasonableness of the restrictions has to be considered with regard to the exercise of the right, it does not necessarily exclude from the consideration of the Court the question of reasonableness of the procedural part of the law.",Is the law providing reasonable restrictions on the exercise of the right conferred by article 19 reasonable?,Yes
3.txt,"The Court will consider whether the restrictions put by the impugned legislation on the exercise of the right are reasonable or not The question whether the provisions of the Act provide reasonable safe guards against the abuse of the power given to the executive authority to administer the law is not relevant for the true interpretation of the clause The Court, on either interpretation, will be entitled to consider whether the re strictions on the right to move throughout India, i.e., both as regards the territory and the duration, are reasonable or not The law providing reasonable restrictions on the exercise of the right conferred by article 19 may contain substantive provisions as well as procedural provisions While the reasonableness of the restrictions has to be considered with regard to the exercise of the right, it does not necessarily exclude from the consideration of the Court the question of reasonableness of the procedural part of the law.",Is the law providing reasonable restrictions on the exercise of the right conferred by article 19 reasonable in so far as it is based on the reasonable apprehension that the right may be abused?,Yes
3.txt,"The Court will consider whether the restrictions put by the impugned legislation on the exercise of the right are reasonable or not The question whether the provisions of the Act provide reasonable safe guards against the abuse of the power given to the executive authority to administer the law is not relevant for the true interpretation of the clause The Court, on either interpretation, will be entitled to consider whether the re strictions on the right to move throughout India, i.e., both as regards the territory and the duration, are reasonable or not The law providing reasonable restrictions on the exercise of the right conferred by article 19 may contain substantive provisions as well as procedural provisions While the reasonableness of the restrictions has to be considered with regard to the exercise of the right, it does not necessarily exclude from the consideration of the Court the question of reasonableness of the procedural part of the law.",Is the law providing reasonable restrictions on the exercise of the right conferred by article 19 reasonable in so far as it contains both substantive and procedural provisions?,Yes
3.txt,"The Court will consider whether the restrictions put by the impugned legislation on the exercise of the right are reasonable or not The question whether the provisions of the Act provide reasonable safe guards against the abuse of the power given to the executive authority to administer the law is not relevant for the true interpretation of the clause The Court, on either interpretation, will be entitled to consider whether the re strictions on the right to move throughout India, i.e., both as regards the territory and the duration, are reasonable or not The law providing reasonable restrictions on the exercise of the right conferred by article 19 may contain substantive provisions as well as procedural provisions While the reasonableness of the restrictions has to be considered with regard to the exercise of the right, it does not necessarily exclude from the consideration of the Court the question of reasonableness of the procedural part of the law.",Is the law providing reasonable restrictions on the exercise of the right conferred by article,Yes
3.txt,"The petitioner argues that the order was served to him in breach of the law.The petitioners argument is based on the assumption that the Provincial Government when making the order will not perform its duty and may abuse the provisions of the section In my opinion, it is improper to start with such an assumption and decide the legality of an Act on that basis Abuse of the power given by a law sometimes occurs; but the validity of the law cannot be contested because of such an apprehension.The petitioner also argues that there is no provision in the Act for furnishing grounds of externment to the citizen.",Is there no provision in the Act for furnishing grounds of externment to the citizen?,"No, there is not."
3.txt,"The petitioner argues that the order was served to him in breach of the law.The petitioners argument is based on the assumption that the Provincial Government when making the order will not perform its duty and may abuse the provisions of the section In my opinion, it is improper to start with such an assumption and decide the legality of an Act on that basis Abuse of the power given by a law sometimes occurs; but the validity of the law cannot be contested because of such an apprehension.The petitioner also argues that there is no provision in the Act for furnishing grounds of externment to the citizen.",Is the order served to the petitioner in breach of the law?,No
3.txt,"The right to move freely throughout the territory of India is not absolute The extent to which it could be curtailed by legislation is laid down in clause (5) of article 19 which runs as follows: ""Nothing in sub clauses (d), (e) and (f) of the said clause shall affect the operation of any existing law in so far as it imposes, or prevent the State from making any law imposing, reasonable restrictions on the exercise of any of the rights conferred by the said sub clauses either in the interests of the general public or for the protection of the interests of any Scheduled Tribe."".The primary question which requires consideration is, whether the impugned legislation which apparently seems to be in conflict with the fundamental right enunciated in article 19 (1) (d) of the Consitution is protected by clause (5) of the article, under which a law would be valid if it imposes reasonable restrictions on the exercise of the right in the interests of the general public.",What is the extent to which it could be curtailed by legislation?,"""Nothing in sub clauses (d), (e) and (f) of the said clause shall affect the operation of any existing law in so far as it imposes, or prevent the State from making any law imposing, reasonable restrictions on the exercise of any of the rights conferred by the said sub clauses either in the interests of the general public or for the protection of the interests of any Scheduled Tribe."""
3.txt,"The right to move freely throughout the territory of India is not absolute The extent to which it could be curtailed by legislation is laid down in clause (5) of article 19 which runs as follows: ""Nothing in sub clauses (d), (e) and (f) of the said clause shall affect the operation of any existing law in so far as it imposes, or prevent the State from making any law imposing, reasonable restrictions on the exercise of any of the rights conferred by the said sub clauses either in the interests of the general public or for the protection of the interests of any Scheduled Tribe."".The primary question which requires consideration is, whether the impugned legislation which apparently seems to be in conflict with the fundamental right enunciated in article 19 (1) (d) of the Consitution is protected by clause (5) of the article, under which a law would be valid if it imposes reasonable restrictions on the exercise of the right in the interests of the general public.",Is the impugned legislation which apparently is in conflict with the fundamental right enunciated in article 19 (1) (d) of the Consitution protected by clause (5) of the article?,Yes
3.txt,"The right to move freely throughout the territory of India is not absolute The extent to which it could be curtailed by legislation is laid down in clause (5) of article 19 which runs as follows: ""Nothing in sub clauses (d), (e) and (f) of the said clause shall affect the operation of any existing law in so far as it imposes, or prevent the State from making any law imposing, reasonable restrictions on the exercise of any of the rights conferred by the said sub clauses either in the interests of the general public or for the protection of the interests of any Scheduled Tribe."".The primary question which requires consideration is, whether the impugned legislation which apparently seems to be in conflict with the fundamental right enunciated in article 19 (1) (d) of the Consitution is protected by clause (5) of the article, under which a law would be valid if it imposes reasonable restrictions on the exercise of the right in the interests of the general public.",Is the right to move freely throughout the territory of India absolute?,Yes
